,Unnamed: 0,Maximum Phosphorus,Utility1,Utility2,Reliability,n_reliability,C1,R1,W1,C2,R2,W2
440,440,2.5976515101544218,1.6809926691978518,1.6302519599139016,0.05,0.0867380444105247,"[-0.028736605158428123, 0.6084902219345689, -0.6956860010370138]","[0.0, 1.0710624879260433, 1.5451678823050579]","[1.0, 0.2664527192263284, 0.5471112878608524]","[0.033225512937912205, 1.8854854663687992, 1.1172853095077984]","[0.90955589577201, 0.0, 1.6023051376827757]","[0.3664481860885288, 0.0, 0.06863075008060775]"
441,441,2.48560233838621,1.5753506896334242,1.0865745491033492,0.04,0.06939043552841975,"[0.5333378103045812, -0.23829643758183594, 0.4004532997101698]","[0.9042056552188025, 1.5591593071452772, 1.1834924040102552]","[0.5856153081994114, 0.4123109029578781, 0.9702878746138142]","[2.0, 2.0, -0.054056352836906935]","[2.0, 0.7852348621079439, 1.9323395229921143]","[0.43008448154422596, 0.006778587192866996, 0.008998433114434944]"
442,442,2.4659945547083932,1.720002447226948,0.8301690300314464,0.0296,0.05134892229103062,"[-0.3455165690346118, 1.3247457662296058, 0.13028287613928557]","[0.6519229127122333, 0.28337259856333485, 1.2895764198799127]","[0.47577375675245925, 0.0, 0.6574061512010734]","[1.5315100172750518, 1.0951937956528695, -0.026934216175604347]","[2.0, 0.0, 1.4920914704817192]","[0.38028655910779363, 0.30140557698996595, 0.0]"
443,443,2.4562530511789906,1.7207353408034407,0.7964806588115811,0.0271,0.04701202007050438,"[-0.6619616800601018, 1.1827114142380608, 0.124989102873066]","[1.060100225989983, 0.36895032561329466, 0.46408478494721317]","[0.22999308029500865, 0.0, 0.9044618460863663]","[1.5288841036932928, 1.3931410232009314, -2.0]","[2.0, 0.0, 1.9103680699925607]","[0.34634252220523576, 0.29576092286252853, 0.0]"
444,444,2.453968681272874,1.5284964009351274,0.7816632647583209,0.06,0.10408565329262963,"[-0.3455165690346118, 0.005938913470735611, 0.058636526763370445]","[1.2577928602125872, 0.0, 1.0074740444486978]","[0.0, 0.0, 0.34656212175598977]","[1.4060259233600632, 1.4090648145528444, -2.0]","[2.0, 0.0, 1.9020579561475024]","[0.34634252220523576, 0.5930802805449102, 0.0]"
445,445,2.459362708180236,1.734760888210494,0.789630730727841,0.0299,0.05186935055749377,"[1.0787402466180085, -0.07407260093633034, 0.124989102873066]","[0.10042218083647736, 1.6543478719723532, 0.9851481513143066]","[0.9212634032598805, 0.6560305396926385, 0.752697257784162]","[1.4641900909493644, 1.4097114198900265, -1.0169443654515704]","[1.9974614114466671, 0.0, 0.8763527827115811]","[0.5824344239189893, 0.8774785342520919, 0.0001270257543125597]"
446,446,2.597651510141041,1.1303696476538712,1.0095313042494751,0.26,0.45103783093472843,"[0.5597801606116062, -0.09512708185854901, 0.7491785771542544]","[2.0, 0.7968682823573638, 1.8178539489089665]","[0.5046652660268115, 0.21157369787588043, 0.5993703673630668]","[0.724322001238741, 0.266292242248542, 0.3355676115782277]","[1.760416747233817, 0.636301294371087, 1.9641188925187887]","[0.10956458662320034, 1.0, 0.11232324921661682]"
447,447,2.597651510153538,1.1923101861489325,1.262178558191864,0.1947,0.33775794493458317,"[0.11859453690471794, -0.10839722617125724, 0.05935483148441367]","[0.35821016916461346, 1.0499879726182422, 1.018238572337753]","[0.005919520954499158, 0.16810669302402048, 0.13802215658834593]","[1.1107867495640464, 0.17057014315328045, 1.8322462510971647]","[1.4197153779229734, 0.391309512077211, 1.531000358758398]","[0.04422732639101323, 0.9444953885934354, 0.0040400925689857425]"
448,448,2.3167042271867775,1.5414837804714856,0.3434453512437087,0.06,0.10408565329262963,"[0.32879838426477326, 0.2218720251550912, 0.7673171830001984]","[1.1158019802947574, 0.23909362764925324, 1.983736371241686]","[0.35026402989662714, 0.032671813746741996, 0.9199363419345012]","[-0.9229878637302235, 1.0307834055622647, 1.8780334005326904]","[0.11693939060971151, 0.0, 1.339775451644404]","[0.0, 0.8773196600162477, 0.03823558307150765]"
449,449,2.384817002258692,1.734760888210494,0.6631781532571729,0.02,0.034695217764209876,"[1.9538308251584908, 1.913210858799103, -0.3318095871292436]","[0.0, 0.28418841073166246, 1.4522627371509442]","[0.028024651575686177, 0.3309008655175458, 0.565807629367043]","[2.0, -1.4245152406304324, -1.722770043427536]","[1.260104034738935, 0.0, 1.9513181508843482]","[0.46667503443916314, 0.9927922413498604, 0.003453109999250664]"
450,450,2.5976515101517523,1.1737759916274595,1.1540428028345204,0.2216,0.38442301282744545,"[0.10897713368961154, 1.8927710275468315, -0.23221171176102812]","[0.4829313446979344, 1.664300925865148, 1.5872429598219557]","[0.0, 0.0, 0.0452497783630369]","[0.394364183052493, 1.0035727296262644, 0.16545966741477725]","[0.5812472526486987, 0.0, 0.4749268924236951]","[0.23587667468448503, 0.08648125257445571, 0.5836335719374381]"
451,451,2.5976515101535713,1.3285485223417488,1.121290315617755,0.1892,0.32821676004942546,"[-0.028736605158428123, 0.2945754376837426, 0.8856100424944698]","[1.7271156485330006, 0.16737144823157224, 1.812968181791395]","[0.45372503733545677, 0.4192644442605763, 1.0]","[0.03229146372354719, -0.6184810914403953, -0.6700861695045768]","[0.90955589577201, 0.0, 0.0]","[0.15353100144810783, 0.7009452450940833, 0.13770019360925845]"
452,452,2.380717208673124,1.5574395901071645,0.5034362391188707,0.07,0.12143326217473459,"[-0.2698462154907171, 0.2787098677016667, 0.124989102873066]","[1.2230332482418125, 0.0, 1.0074740444486978]","[0.19507885425248694, 0.0, 0.34656212175598977]","[1.4060259233600632, -0.020895747430736744, 0.46637139354876367]","[2.0, 0.0, 1.360762561252778]","[0.34634252220523576, 0.997986590848446, 0.0]"
453,453,2.419100000161019,1.5541271163917936,0.6646164230687002,0.06,0.10408565329262963,"[-0.6344394108188385, 1.0788014491046165, 0.124989102873066]","[1.5960531702065073, 0.5905640625344684, 0.6598373463345892]","[0.0, 0.0, 0.34656212175598977]","[1.4224608596072905, 1.408834677503822, -0.18726262390350223]","[1.956620491672227, 0.0, 1.9209853906406238]","[0.40511615331365947, 0.8722128740451112, 0.0]"
454,454,2.4479227653651585,1.608473470326827,0.7623263887304299,0.05,0.0867380444105247,"[-0.4388993139058804, 1.1422404714422711, -0.11072644032938073]","[0.0, 0.5576176200612608, 0.9511149334987238]","[0.3043754163422414, 0.0, 0.4027203831330417]","[1.422717450253363, 1.444792526557921, -1.6728832430974956]","[1.8577215499333275, 0.0, 1.2182675057273689]","[0.3806052025074063, 0.8712634860880294, 0.0]"
455,455,2.5976515101543693,1.3859952719718185,1.4197237096088824,0.1286,0.2230902502238695,"[0.11859453690471794, -0.08426888624646267, 0.05935483148441367]","[0.3845842061816054, 1.0527219792423612, 1.0306025342182648]","[0.7281125568210564, 0.9361105403786155, 0.73675264079438]","[1.4127152978358624, 0.17057014315328045, 0.2244974246799578]","[1.4197153779229734, 0.7565294457399048, 1.5745714886405602]","[0.04422732639101323, 0.9444953885934354, 0.0040400925689857425]"
456,456,2.597651510154401,1.3732994863976131,1.5584019231234425,0.1025,0.1778129910415756,"[0.15347814584607056, 0.3082858582131056, 0.12462865930637854]","[1.4733838205152163, 1.3990348517979325, 0.6742630612498637]","[0.4566810458432957, 0.6011435663725602, 0.3344219531300271]","[-0.2285250230231779, -0.21565464820175828, 0.3886328851176162]","[1.2315995507105415, 1.4794312994934837, 0.45494884982190564]","[0.834051227116413, 0.9935200551010023, 0.35257069526643414]"
457,457,2.467638724362756,0.9219556731647534,1.601517232190854,0.04,0.06939043552841975,"[1.540527898186093, 1.988001506694284, -1.1321359439900285]","[1.4262789873210886, 1.3342316328286916, 0.0]","[0.3072877444073874, 0.841748701288647, 1.0]","[-0.3255233263753903, 1.24261963729051, -0.37059321053740074]","[1.7522826516042929, 0.0, 2.0]","[0.05958074403457514, 0.02375331633142419, 0.18175546248835617]"
458,458,2.31670422718119,1.4128274824280695,0.1734760888210492,0.16,0.277561742113679,"[0.11601053254627408, 0.2284424516549201, -0.27510299981398534]","[1.0730274173726324, 0.15449967962305644, 1.3763712381438107]","[0.39605728600352985, 0.26674624124851387, 0.6417815401165127]","[-1.835285994147951, 0.7787069657382832, -1.0534809583655662]","[0.11126009578090104, 0.0, 0.7591692788139786]","[0.0, 0.0914891239412906, 0.0]"
459,459,2.367878227475192,1.5944452701851468,0.6360567469396838,0.04,0.06939043552841975,"[1.8425422930207318, -0.7951256625462078, -0.3318095871292436]","[0.0, 1.124429066902246, 1.5851052440003974]","[1.0, 0.002863961573464656, 0.9658521093347753]","[2.0, -1.9368570768477653, -1.9019710177825702]","[1.260104034738935, 0.0, 1.594827643369595]","[0.2612560465069401, 0.13461991590090938, 0.00019417713653594945]"
460,460,2.5976481394901585,0.5765481612782866,0.6650630692650181,0.5302,0.9197702229292039,"[-0.09999883901156725, -0.20368718671793834, 0.06446012305654407]","[0.14085040127305629, 1.5627415011425623, 1.0122779090762453]","[0.0, 0.4685667585579187, 0.3844790430349455]","[0.30559287235057087, 0.30372053392638587, -0.3541399093556513]","[0.5600780770119791, 1.2915625394194536, 1.9021540879874337]","[0.5262818114046359, 0.2024103259844423, 0.9636230406045829]"
461,461,2.316704226363007,1.063108951193272,0.1734760888210492,0.2899,0.5029071814922221,"[0.32055282028463755, 0.658080684899914, 0.06785172343357701]","[0.6327020281579286, 1.0840687188987008, 0.8308698130928374]","[0.5519202890401892, 0.6315251493340832, 0.17648180463920285]","[1.1293264205253668, 0.8849373528875752, -1.1958845340576805]","[0.10528423195414782, 0.0, 1.4918356006090683]","[0.0, 0.3528078468992097, 0.0]"
462,462,2.597651510154369,1.4122168917850757,1.4004547219731822,0.1274,0.22100853715801694,"[0.32879838426477326, 0.2218720251550912, -0.27510299981398534]","[1.358923251670611, 0.23909362764925324, 1.272001993560468]","[0.6349424114255293, 0.8074395650699733, 0.2977210132587337]","[-0.8706252498912534, 0.41291877054958315, -0.5987031845744775]","[0.11693939060971151, 0.0, 1.339775451644404]","[0.0, 0.25940182038642234, 0.03823558307150765]"
463,463,2.3410109447415923,1.5647750867808383,0.4061049385642456,0.06,0.10408565329262963,"[-0.3455165690346118, 0.39396318449662726, -0.007453488325755583]","[0.13112480783167133, 0.0, 1.0074740444486978]","[0.0, 0.0, 0.34656212175598977]","[1.5288841036932928, 1.4090648145528444, -2.0]","[1.9902449756880483, 0.0, 1.9219107336990369]","[0.34634252220523576, 1.0, 0.0]"
464,464,2.522457310405165,1.6198060222090769,0.9581779774871256,0.08,0.1387808710568395,"[-0.4350082050248266, -0.2097227482377746, -0.2728417418901946]","[0.0, 0.5414049969022001, 0.9493239699630658]","[0.3139411770157005, 0.0, 0.736863984044427]","[-1.973021255055649, 0.6833493787104101, -0.0181679937951158]","[1.971050400059705, 0.0, 0.7549849456760805]","[0.005184946815856267, 0.8129841430863648, 0.0]"
465,465,2.5682835833556457,1.734760888210494,1.1307898124679854,0.05,0.0867380444105247,"[0.2910966976698229, -0.7507656899175807, 1.7778737585175923]","[0.22126308605377204, 2.0, 1.4303148747147654]","[1.0, 0.5823960916640792, 1.0]","[0.3897863785596375, -0.5160232816996978, -0.043540964794187495]","[0.0, 0.0, 2.0]","[0.0, 0.4963556235151034, 0.020968278397413415]"
466,466,2.3688703692339677,0.3594942978277008,1.669262232525859,0.07,0.12143326217473459,"[-1.0915528775162313, -0.6408949544114928, -0.8797097790411597]","[0.0, 1.7847121104561654, 0.0]","[1.0, 0.007293281115958367, 0.33238717157249964]","[-0.3255233263753903, 1.91925992459864, -1.6504148981947426]","[1.1464639780790236, 0.0, 1.9208852670141052]","[1.0, 0.6411563967207714, 0.06266200367114672]"
467,467,2.420098927132289,1.620227500556943,0.6583512596438763,0.05,0.0867380444105247,"[-0.421291408568475, 0.9706876331545551, -0.11132428482572075]","[0.0, 0.5414049969022001, 0.9497713542976305]","[0.3139411770157005, 0.0, 0.7932208386759052]","[1.422717450253363, 0.18369174524807774, -0.0736805957886929]","[1.925840044457051, 0.0, 1.2182675057273689]","[0.3806052025074063, 0.8712634860880294, 0.0]"
468,468,2.579154680750312,1.0923240534720562,0.8054092223644141,0.2274,0.3944846259790663,"[0.30109390602039343, 0.658080684899914, 0.22962282001948928]","[0.633034993497569, 1.1303126500319693, 1.8845455411805019]","[0.6434395136574352, 0.3966820702933665, 0.17648180463920285]","[1.1702894591364703, 1.3177587745255486, -0.32202490476769396]","[1.9647609754558992, 0.0, 1.4326096693372046]","[0.10143342294618307, 0.296768244427968, 0.0]"
469,469,2.411303377600343,1.4961495679919274,0.6430521395963276,0.07,0.12143326217473459,"[-0.3455165690346118, -1.6196332149910933, 0.124989102873066]","[1.5956886402951431, 0.24306154954241693, 0.9086466679033189]","[0.0, 0.0, 0.34656212175598977]","[1.4282877587268292, -0.6461793216885434, 0.4919044032037152]","[2.0, 0.0, 0.4048042952996034]","[0.1217087070117269, 0.2446519828919531, 0.0]"
470,470,2.4932433030894208,0.9570606412561332,1.5721184943189743,0.0452,0.07841119214711433,"[1.5429310969547454, -0.697833786625667, -1.1321359439900285]","[1.6491660909060555, 0.0, 0.0]","[0.9892663583263936, 0.903762936538964, 0.987252630443154]","[-0.18577553000972502, -1.2043670648087899, -0.37059321053740074]","[1.438242485321989, 0.0, 1.7253026422098126]","[0.9758749952506065, 0.6750484234612676, 0.0]"
471,471,2.597651510083434,1.104028264753585,0.866953209606268,0.2915,0.505682798913359,"[-0.1305250051954609, 0.7009320209880776, 0.3271364019454279]","[1.262207633420634, 1.9448954986450333, 0.3371617009608834]","[0.5010899072581037, 0.19314135946791522, 0.30392098012675317]","[0.2502020432813002, 0.21229694914843086, 1.4574902984739184]","[1.077301358022599, 1.9690278377023387, 0.7165171536277573]","[0.0, 0.8567336462466602, 0.0]"
472,472,2.3167042271865195,1.455589289042048,0.3317698862436006,0.09,0.15612847993894444,"[0.1162588470852084, -0.08426888624646267, 0.05935483148441367]","[1.0807903764053846, 1.0187924442198575, 0.0]","[0.9978650034739787, 0.6614629805065964, 0.6914698117262539]","[1.9254244635030582, 0.17057014315328045, 1.8883482594554657]","[1.769390826423377, 0.0, 1.5745714886405602]","[0.04422732639101323, 0.7707549816356288, 0.0040400925689857425]"
473,473,2.349917017610152,0.5164832871818903,1.734760888210494,0.02,0.034695217764209876,"[-1.9066433777069764, 2.0, -0.22972469747276408]","[2.0, 1.28371468382756, 2.0]","[0.0, 0.23627492874211442, 0.0]","[-1.6958300493059246, -0.41113883834153686, -1.6890253479283266]","[0.2572792919007392, 2.0, 1.4288579679257973]","[0.0, 0.0, 0.7821579192107037]"
474,474,2.349307284154574,1.3901131186563964,0.3946431513124084,0.1196,0.20747740222997507,"[0.2639962235996527, -1.6196332149910933, 0.1516186006827073]","[0.1791182324610442, 0.6075171489013653, 0.6005332873863138]","[0.0, 0.0, 0.19485225737258705]","[1.4060259233600632, -0.6461793216885434, 0.7036646460438467]","[1.7814726457179917, 0.0, 0.4048042952996034]","[0.12706873430855403, 0.8141519075876221, 0.0]"
475,475,2.3351579533117857,1.734760888210494,0.2353330980104969,0.05,0.0867380444105247,"[1.5223267153212117, 0.6520610816882028, 0.03475361724827464]","[0.5066749053741886, 1.094621958979594, 1.5322093761938411]","[0.9702749562934947, 0.6245499579475705, 0.1543154872197678]","[1.1293264205253668, -1.0323279179295515, 0.02768825372735151]","[0.8792496283368942, 0.0, 1.3905553845280443]","[0.0022891802773893563, 0.6304702196287375, 0.00088070307686966]"
476,476,2.5976515101495212,1.1239779388076965,1.120226870862273,0.2355,0.4085361891735713,"[0.07792942670445503, -0.2072611439639857, 0.21668978811549436]","[1.4025432944016698, 1.3341966809605743, 0.37093895308598857]","[0.3680776210334159, 0.9665612181197065, 0.8531935209440349]","[0.31719348610882075, 0.4374381699854689, -0.3538378966208256]","[1.6409699008244125, 2.0, 1.396586644325232]","[0.551061794216448, 0.26117148281727637, 0.37890121639829344]"
477,477,2.5976515101543187,1.3108628921416872,1.4055840867905065,0.1413,0.2451217135041428,"[0.24124992809500378, 2.0, -1.8713315174846206]","[0.4906147840211814, 1.2060148147618148, 0.0]","[0.8554203261861894, 0.0, 0.37228238467897856]","[-0.5277296762629393, -1.6106779630490733, -0.5402932295900049]","[1.9990508551353547, 0.0, 1.843173047586623]","[0.11953541061691658, 0.9613058999068154, 0.9092073916345678]"
478,478,2.597651510154421,1.6429179618774756,1.6015782697135317,0.06,0.10408565329262963,"[0.6028131251109237, -0.07956704799858164, 0.05935483148441367]","[0.9453404841836159, 0.5793363481723157, 1.5603978201901518]","[0.10125678709935666, 0.9567013737172925, 0.668136100167815]","[-1.109507196932316, 0.17057014315328045, -0.11569068418567469]","[1.8936074150041102, 0.27090148168909073, 1.5000325291398247]","[0.0006472048959520188, 0.2430716450467586, 0.16705482671006797]"
479,479,0.1985033056689206,0.2734249787580547,0.2243675924267309,1.0,1.734760888210494,"[0.5855198378853066, 0.8187232702371744, 0.607613406404452]","[1.9156944248934633, 0.21811377328057785, 1.5227792421769464]","[0.35693709475876045, 0.0, 0.47800921871366775]","[0.39133683444341877, -1.1353100081188998, 0.1003232590265104]","[0.7423558253857008, 0.0, 0.7833174320079557]","[1.0, 0.12615761627067013, 0.6198293932628376]"
480,480,2.34179020466322,1.4733948718474137,0.3504172310777186,0.1,0.1734760888210494,"[-0.3455165690346118, -1.6196332149910933, 0.124989102873066]","[1.5960531702065073, 0.5905640625344684, 0.6270619597536775]","[0.21374482584961263, 0.0, 0.34656212175598977]","[1.4060259233600632, -1.5460410540949985, 0.49066765498177456]","[2.0, 0.0, 0.4048042952996034]","[0.12706873430855403, 0.6075168058891438, 0.0]"
481,481,2.5976515101544218,1.6050557611657,1.7123120395561682,0.0475,0.08240114218999846,"[0.07792942670445503, 0.6098229726303571, 0.21628300529204375]","[1.45023128655086, 1.88757212245259, 0.37531389624923883]","[0.543268390122768, 0.9643297296333747, 0.8522986661505394]","[0.32173233311784044, 1.976187890002099, -0.3538378966208256]","[1.8674880092599901, 1.6699814224249494, 1.404886206940334]","[0.9767685075006425, 0.08794104143381051, 0.9673909093999289]"
482,482,0.2296829045764723,0.2000511261891867,0.3282972388216562,1.0,1.734760888210494,"[-0.4584916272818598, 1.120197162738963, 0.28509046614779976]","[1.696810184447945, 0.9316083849285448, 0.7340730263612991]","[0.0009427361238287506, 0.0052803199902366205, 0.5421688797185926]","[0.41465489698416247, 1.06603890414214, -0.5747688928246042]","[0.7288030926317735, 0.0, 1.9737326707087917]","[0.9612082553148487, 0.10822241837380586, 0.03279485862165754]"
483,483,2.4474475497740116,1.5239534605525518,0.7590462939685402,0.0682,0.11831069257595568,"[-0.3455165690346118, 0.011843524370453717, 0.058636526763370445]","[1.2577928602125872, 0.0, 1.0074740444486978]","[0.0, 0.011702871090556177, 0.34656212175598977]","[1.4060259233600632, 1.4090648145528444, -2.0]","[2.0, 0.0, 1.9020579561475024]","[0.3348353358225435, 0.5930802805449102, 0.0]"
484,484,2.468753620417257,1.734760888210494,0.8261108829252128,0.03,0.052042826646314815,"[-0.4260298757532191, -0.07405057381383584, 0.124989102873066]","[0.09707466656527297, 1.929730218654007, 0.9816853780574495]","[0.9213273144864842, 0.6560305396926385, 0.752697257784162]","[1.4641900909493644, 1.4097114198900265, -0.8397331001528592]","[1.9974614114466671, 0.0, 1.9337356509879966]","[0.41278753022500936, 0.8680550422276296, 0.00434233321258912]"
485,485,2.5976515101542628,1.231336953994714,1.427541449496818,0.1501,0.2603876093203952,"[0.27279441153168904, -0.0699461627516148, 0.10436346257041107]","[1.5454087761093487, 1.991027947866119, 0.925910837077023]","[0.5164301978161463, 0.887269100196675, 0.30392098012675317]","[0.819267003774802, 0.29931457837997133, -0.4645490464659634]","[1.3744684343595508, 0.4608053182624474, 1.8874260113395576]","[0.13372923364611883, 0.8659005761013395, 0.8620076210357699]"
486,486,2.422058547349528,0.8349417900494318,1.5125142905604485,0.05,0.0867380444105247,"[-0.7245631868731494, 1.2056362719323777, 2.0]","[0.21405438032702195, 1.5949369387463224, 1.8871679811198427]","[0.0, 0.05910572696750524, 0.747871471380546]","[0.2730815301106546, 0.8478524269554951, -0.19279078875410355]","[1.9520992407058293, 0.0, 1.7256410422796367]","[0.07113875844879441, 0.9989523895326725, 0.7489495902455164]"
487,487,2.316704227184917,1.401906745205977,0.2402006856480859,0.1303,0.22603934373382736,"[0.1162588470852084, -0.08426888624646267, 0.0872916752470283]","[1.0763209848551993, 0.70284075351156, 0.0]","[0.554601309700404, 0.6614629805065964, 0.6928604565180017]","[1.4693232776629848, 0.17057014315328045, 1.8883482594554657]","[1.769390826423377, 0.0, 1.5745714886405602]","[0.03550743371313403, 0.7513245330580557, 0.0040400925689857425]"
488,488,2.3412732818605,1.2866203936728935,0.2339963801375915,0.1898,0.32925761658235175,"[0.32055282028463755, -0.08948977692354904, 0.06336578352089059]","[0.8677029504998676, 0.8062803903804341, 1.5981249758428882]","[0.41096319175149865, 0.9432462345520427, 0.02646870991764745]","[1.1293264205253668, -0.6862871607201515, -0.27286275491573175]","[1.9302527408888075, 0.0, 0.5109109728302303]","[0.030090215085471272, 0.3941360468196853, 0.0]"
489,489,2.340127742646796,1.522265808627844,0.410204405227511,0.0675,0.11709635995420835,"[-1.1671712320333807, 1.6340763322826972, -0.07041757195140541]","[1.6294632121234558, 0.0, 1.3886516123254409]","[0.0, 0.0, 0.12373482748588771]","[1.5288841036932928, -1.1837091787684288, -0.6638635284212303]","[1.999801772608072, 0.0, 1.9287589781043246]","[0.34634252220523576, 0.997420097881693, 0.0]"
490,490,2.597651510154408,1.4930547992106489,1.5011904208467894,0.0961,0.16671052135702846,"[0.33759887124149923, 0.2211274933745771, 0.05935483148441367]","[0.2406931750315856, 0.5946063384493787, 1.3212814830836972]","[0.555644615290247, 0.8617977046818408, 0.6928604565180017]","[0.17327800687707118, 0.15760507931070278, -0.6724343693555968]","[0.9664928320652029, 0.9556351331897239, 1.9021675047607411]","[0.11419730421436097, 0.9878915075819084, 0.38789122838107115]"
491,491,2.407286105089037,1.525051254405807,0.6568639341477817,0.06,0.10408565329262963,"[1.1669900680870104, 1.4011607992230108, 0.124989102873066]","[1.200979429341846, 0.0, 0.9843692451732802]","[0.002477382385765753, 0.05886865593757377, 0.7506878848074721]","[1.4852963179008185, 0.08623931898347159, -0.43303170706098637]","[1.9655600812230487, 0.0, 1.142796194574578]","[0.34634252220523576, 0.5899597565850562, 0.0]"
492,492,2.3219955163271275,1.6775774773595673,0.3188660235760487,0.0335,0.05811448975505155,"[-0.3455165690346118, 1.3303694055667359, 0.35789911810264025]","[0.9180927019953667, 0.0, 1.0074740444486978]","[0.2551676986795355, 0.0, 0.9740083577487391]","[1.6095051129291007, 0.14848756921871797, 0.01799054426388791]","[2.0, 0.0, 1.9219107336990369]","[0.34634252220523576, 1.0, 0.0]"
493,493,2.5746138510940204,1.6995119707682014,1.2207630736816228,0.0305,0.05291020709042006,"[-0.3409394776024464, -1.572103860061005, 0.1790565122564486]","[1.234992148840846, 0.00032654589231795317, 0.19736723751441088]","[0.002477382385765753, 0.0, 0.35470881180970454]","[1.4062859229461762, -0.020895747430736744, -1.9662582388650753]","[1.9997368790768175, 0.0, 1.5364201468493062]","[0.3434519625730675, 0.713851925211696, 0.0011347722670896065]"
494,494,2.551948235976835,1.6779305386304544,0.9869468027925576,0.06,0.10408565329262963,"[0.32055282028463755, 0.6750771659412339, -0.7808352289035052]","[0.39509403029712886, 1.1303126500319693, 1.5981249758428882]","[0.513075684753534, 0.6315251493340832, 0.17648180463920285]","[1.1293264205253668, -0.9083234161665215, -0.27286275491573175]","[1.9647609754558992, 0.0, 1.4326096693372046]","[0.10143342294618307, 0.3521175814628136, 0.0]"
495,495,2.43969905861628,0.6662046392840754,1.6735547105180917,0.05,0.0867380444105247,"[1.321544468407529, -1.3448199350839989, 0.5104775907509929]","[1.9480822407579863, 0.0, 0.0]","[0.6288574455328343, 0.9377921154511671, 0.8869215301424774]","[0.2905088620411216, -0.5657961780585214, -1.5578611073639808]","[0.5887831148427929, 1.7269401105134563, 2.0]","[0.9907289230937584, 0.7584099617686301, 0.01591875171678714]"
496,496,2.3782619067176514,0.6550669340805375,1.5669770992445278,0.0464,0.08049290521296691,"[0.3585706979952228, 0.7827698419688711, 2.0]","[0.2102397045668162, 0.0, 1.0737516363817694]","[0.0, 0.407102155491771, 0.8106691551783578]","[0.3849947074637129, 0.5370860187120421, -0.2891176159853814]","[1.9526022475618086, 1.1120242105814826, 2.0]","[0.0855058773836107, 0.0, 0.751279275020764]"
497,497,2.597651510154421,1.5707907976885769,1.6744754479302792,0.06,0.10408565329262963,"[0.07792942670445503, -0.205605047132064, 0.21628300529204375]","[1.45023128655086, 1.88757212245259, 0.37531389624923883]","[0.543268390122768, 0.9643297296333747, 0.8522986661505394]","[1.1094835507134713, 0.4567735733897666, -0.3538378966208256]","[1.8674880092599901, 1.6699814224249494, 1.404886206940334]","[0.5446211371319647, 0.38328585660336756, 0.9673909093999289]"
498,498,2.443315376030326,1.5208615004479955,0.7845701244208317,0.0502,0.08708499658816679,"[-0.3455165690346118, 0.8016446782683733, 0.124989102873066]","[1.200979429341846, 0.0, 0.8952533054032217]","[0.002477382385765753, 0.6005017950297142, 0.6221434208667109]","[1.4852963179008185, 0.08623931898347159, -2.0]","[1.9655600812230487, 0.0, 0.8361885175160492]","[0.34609056069073607, 0.4613744787738004, 0.0]"
499,499,2.456252940933301,1.7182403118023577,0.797054075509853,0.03,0.052042826646314815,"[-0.6787790559376052, 1.326693213267193, 0.11768582405902034]","[1.1744507497433674, 0.36961966614335384, 0.5962814186363106]","[0.3559781447941512, 0.0, 0.9376100946972845]","[1.5288841036932928, 1.4090648145528444, -1.9940914408702883]","[2.0, 0.0, 1.9219107336990369]","[0.34634252220523576, 0.29576092286252853, 0.0]"
500,500,2.352713769944582,1.4203468460715702,0.406507858665887,0.1097,0.19030326943669118,"[-0.3455165690346118, -1.6196332149910933, 0.124989102873066]","[1.5960531702065073, 0.5905640625344684, 0.6598373463345892]","[0.012129156686661396, 0.0, 0.34656212175598977]","[1.4060259233600632, -0.6461793216885434, 0.4919044032037152]","[1.9936666242914018, 0.0, 0.4048042952996034]","[0.12706873430855403, 0.5178181991992502, 0.0]"
501,501,2.5976515101544195,1.6727707356318904,1.5121529619591767,0.0634,0.10998384031254531,"[0.10383132524406768, -0.4910204588765561, -0.09068663681357059]","[0.11933991154302115, 1.788227133798248, 1.2789442465467036]","[0.6213956957477178, 0.2685551538552107, 0.09142863317042527]","[0.24878626510210644, 0.15586912300868735, -1.8453176252379406]","[1.769390826423377, 0.7017471151439036, 1.9182943200388123]","[0.07572615054324183, 0.9191246037903888, 0.0]"
502,502,2.5976515101476156,1.1982995499443048,1.0005409588046057,0.2396,0.41564870881523436,"[0.20543029501259458, -0.14905618420782396, 0.952896307042431]","[0.5994321198861373, 1.7420623022624926, 1.5249122907408044]","[0.6802893550562671, 0.4547953377359484, 0.30392098012675317]","[0.3146117251097264, -0.10025156246320444, -0.46291694759202245]","[1.9116754525359008, 1.946278005908095, 0.6824553433932417]","[0.5797166635641096, 0.9854200062234193, 0.0]"
503,503,2.5032683084025886,0.9479351618580626,1.7101752910387698,0.03,0.052042826646314815,"[1.931148930030179, 2.0, 1.6825954997958743]","[1.7030772469246391, 1.1801458330233556, 2.0]","[0.02757905553209944, 0.10320610449809059, 0.45190741661566936]","[0.6079097941078762, 0.03561698746856212, -0.17708796310737673]","[1.6173105751106167, 0.15759453567699966, 1.4340412938529883]","[0.8291482776010335, 0.2532652247962889, 0.14306761498860676]"
