,Unnamed: 0,Maximum Phosphorus,Utility1,Utility2,Reliability,n_reliability,C1,R1,W1,C2,R2,W2
14,14,2.5976515101544204,1.7003098179314966,1.5200909220116403,0.06,0.10408565329262963,"[0.1162588470852084, -0.08426888624646267, -0.596937625838188]","[1.669171818556578, 1.0187924442198575, 1.3212814830836972]","[0.4306505314083221, 0.48467684075425954, 0.9674322421575358]","[0.5341415115745556, -0.027804897938661366, -0.26203059106122595]","[1.8241075372350046, 1.6291538381423694, 1.9021675047607411]","[0.10758537534085799, 0.9191246037903888, 0.6212024013334256]"
15,15,0.2506561962152358,0.2205475779504251,0.3146504886841168,1.0,1.734760888210494,"[1.7000733957299836, -2.0, 0.44780326306535656]","[0.0, 0.7158758502913249, 0.7562120829846373]","[0.1719968731741569, 0.0, 0.24311193453671176]","[-0.8058280383708647, 0.4038313317849358, -1.6554943654105951]","[0.3303545031174002, 0.5320705054351753, 0.0]","[0.0, 0.9399134089230233, 0.492349621942345]"
16,16,2.36955999018203,1.734760888210494,0.4524011458627525,0.03,0.052042826646314815,"[1.7923625431059125, 0.005938913470735611, 0.124989102873066]","[0.8519364640998097, 0.0, 1.0074740444486978]","[0.9213273144864842, 0.0, 0.34656212175598977]","[1.4894967577236793, 1.4090648145528444, -1.024624853337535]","[2.0, 0.0, 1.9219107336990369]","[0.34634252220523576, 0.7741637277804574, 0.0]"
17,17,0.2522724528855488,0.2301298669657208,0.3050658131897233,1.0,1.734760888210494,"[-1.9590611874203183, -2.0, 0.44780326306535656]","[0.0, 0.6797304278803883, 0.7562120829846373]","[0.1719968731741569, 0.0, 0.2945790595248443]","[-0.8058280383708647, 0.4038313317849358, -1.6554943654105951]","[0.31653916880188815, 0.5320705054351753, 0.0]","[0.0, 0.9247221761000327, 0.492349621942345]"
18,18,2.316704227186679,1.6632328321381928,0.1734760888210492,0.0708,0.12282107088530297,"[0.32879838426477326, 0.2218720251550912, -0.27510299981398534]","[1.9483055496240613, 0.11346929411894757, 1.272001993560468]","[0.3658962338586814, 0.39453618496131904, 0.8970482586334938]","[-1.835285994147951, 0.9696897566048518, -1.0534809583655662]","[0.11693939060971151, 0.0, 1.1960546220830062]","[0.0, 0.0914891239412906, 0.0]"
19,19,2.5976515101544173,1.480119886341149,1.6308413609638317,0.0798,0.1384339188791974,"[0.1568588925295331, -0.08426888624646267, 0.05935483148441367]","[1.6905667454795952, 1.0187924442198575, 1.3083646833503533]","[0.4306505314083221, 0.48467684075425954, 0.6928604565180017]","[1.6502056910581628, 0.17057014315328045, -0.5922950495475177]","[1.769390826423377, 0.5589014404458517, 1.0652355387807249]","[0.08147533545663443, 0.9191246037903888, 0.01719735779570708]"
20,20,2.597651510153141,1.1535948854783238,1.2346330245112789,0.2038,0.3535442690172987,"[0.09880440735122331, 1.1201806727228938, 0.17727220738475813]","[1.4151222932541265, 1.3990348517979325, 0.21537774151041167]","[0.5455084489738904, 0.008058297723889551, 0.029663680579805618]","[-0.446801013494345, 0.16872964750893477, 0.3931006136604105]","[1.1568736741423133, 1.6627542694822834, 0.43224423725682204]","[0.16870417202204324, 1.0, 0.015269727032351965]"
21,21,2.597653509953502,1.734760888210494,1.6477148803200898,0.04,0.06939043552841975,"[-0.20970278007658724, 1.6519467838812416, -1.7282559808304465]","[0.7865658762131056, 0.0, 1.883540818449692]","[0.3544425679041124, 0.4117150949515965, 0.12118969599958818]","[-0.5282973274019066, 0.19905141030104015, 1.5424310608637133]","[1.7601252801747713, 0.4144388346489903, 0.0]","[0.31952123648475506, 0.9164375293836009, 0.3673870804060384]"
22,22,2.5976515101528745,1.312532177645545,1.051718002689765,0.1977,0.34296222759921463,"[-0.1305250051954609, 0.6581762550222774, 0.3271364019454279]","[1.262207633420634, 1.991027947866119, 0.3371617009608834]","[1.0, 0.0, 0.30392098012675317]","[0.7629535798749645, 0.30227884990547516, -0.8458684822451276]","[1.077301358022599, 1.946278005908095, 0.7165171536277573]","[0.0, 0.6741572922404632, 0.0]"
23,23,2.5976515101544133,1.5019950455252933,1.5429929847340833,0.09,0.15612847993894444,"[0.1162588470852084, -0.08426888624646267, 0.05935483148441367]","[0.33338046199570703, 1.0527219792423612, 0.7294658342282057]","[0.02146143154722635, 0.9361105403786155, 0.08712808339510703]","[1.4693232776629848, 0.17057014315328045, 1.8883482594554657]","[1.4197153779229734, 0.7565294457399048, 1.5745714886405602]","[0.04422732639101323, 0.9444953885934354, 0.0040400925689857425]"
24,24,2.479828751716794,1.734760888210494,0.8141947297055601,0.05,0.0867380444105247,"[1.070969557602475, 2.0, -1.9797208677426346]","[0.8840315480530765, 1.173139822423768, 1.9411851816226187]","[0.038145450044699235, 0.3867957501696496, 0.29158530197045796]","[-1.1431255704938819, -1.5088038303454434, -1.0648317198295165]","[0.3798826714796318, 0.0, 2.0]","[0.0, 1.0, 0.011139743074774958]"
25,25,2.327848118927926,0.2935263719588704,1.734760888210494,0.03,0.052042826646314815,"[1.540527898186093, 2.0, -0.533348098821802]","[1.3762943902434839, 0.0, 0.0]","[0.14228517374086358, 0.841748701288647, 1.0]","[-1.5649341284442349, 0.9226501692476332, -0.37059321053740074]","[1.2374701727360722, 0.0, 2.0]","[0.9627864946522755, 0.4496199403972945, 0.9445170774356775]"
26,26,2.339972460522341,1.734760888210494,0.3427057721305957,0.03,0.052042826646314815,"[-0.3455165690346118, 0.005938913470735611, 0.124989102873066]","[0.13112480783167133, 0.0, 1.0074740444486978]","[0.04230112991824875, 0.0, 0.9740083577487391]","[1.5288841036932928, 0.14776702712718004, -2.0]","[2.0, 0.0, 1.9219107336990369]","[0.34634252220523576, 1.0, 0.0]"
27,27,2.31670422718672,1.6772998906003942,0.1734760888210492,0.07,0.12143326217473459,"[0.32055282028463755, 0.658080684899914, -0.9888339935431585]","[0.6789597765965574, 0.6149452736246799, 1.6298009557311839]","[1.0, 0.0, 0.17648180463920285]","[1.1293264205253668, -0.4222804876305437, 0.8744969695515441]","[0.2501057728064624, 0.0, 1.4326096693372046]","[0.0, 0.04377728958858662, 0.0]"
28,28,2.3183446336965186,0.4068653550147658,1.734760888210494,0.02,0.034695217764209876,"[2.0, 0.8819168743349204, 0.8073584694639537]","[1.4528147714422417, 0.7158758502913249, 2.0]","[0.8918227059994778, 0.0, 0.0]","[0.9596766776480486, 0.4093334321494133, 1.1420462056891643]","[0.7000646605708376, 0.3230719391282817, 0.0]","[0.22338035242184495, 0.8316096681680942, 0.0]"
29,29,2.3167042271867366,0.1734760888210492,1.684591341302538,0.0624,0.10824907942433482,"[-2.0, 1.0969990822097522, 0.24094784514663806]","[0.0, 1.5801863195463979, 0.09553978261171658]","[0.3009225612662937, 0.0, 0.0]","[-0.39635593691798016, 0.17257351917203956, -1.9593811622789437]","[0.9132793994492667, 0.34820273793802087, 0.0]","[0.38463391053877816, 0.9988044693200206, 0.208458193643706]"
30,30,2.5976540062649796,1.734760888210494,1.6500347577439205,0.0395,0.06852305508431451,"[0.272696515698031, -0.8124632818558246, 0.05935483148441367]","[0.6734979088453652, 0.9265857485186031, 1.0556487988904466]","[0.3141786738102736, 0.8335974922609406, 0.7019396418621309]","[-1.109507196932316, 0.17057014315328045, -0.119050846305913]","[1.8936074150041102, 0.27090148168909073, 1.9055783241378745]","[0.000610275401369452, 0.00827096202890043, 0.028961987526306632]"
31,31,2.3994221090587797,1.734760888210494,0.562219045595884,0.03,0.052042826646314815,"[-1.2138815915387724, -0.07407260093633034, 0.124989102873066]","[0.8710013543760519, 0.15753389484159808, 1.0074740444486978]","[0.9213273144864842, 0.3913008666520631, 0.34656212175598977]","[1.4641900909493644, 1.4090648145528444, -1.024624853337535]","[1.9974614114466671, 0.0, 1.9337356509879966]","[0.41278753022500936, 0.7741637277804574, 0.0]"
